cve_ent,entidad,oro,plata,cobre,plomo,zinc,coque,fierro,azufre,barita,fluorita
1,AGUASCALIENTES,,1232,21,222,753,,,,,
2,BAJA CALIFORNIA,51.6,1192,1112,,,,,,,
3,BAJA CALIFORNIA SUR,,,,,,,,,,
4,CAMPECHE,,,,,,,,,,
5,COAHUILA,,11071,,,,58207,135546,,995,3867
6,COLIMA,,,,,,,205563,,,
7,CHIAPAS,,,,,,,,4555,,
8,CHIHUAHUA,1712.7,111334,1497,2900,6365,,27509,,,
9,CIUDAD DE MEXICO,,,,,,,,,,
10,DURANGO,1243.8,95102,446,2606,11396,,100460,,,
11,GUANAJUATO,94.9,4916,,,,,,768,,
12,GUERRERO,1997.5,389,,,,,,,,
13,HIDALGO,,,1058,821,2820,,,,,
14,JALISCO,,,,,,,,,,
15,MEXICO,105.9,18538,121,790,3676,,,,,
16,MICHOACAN,,,190,,,,157321,,,
17,MORELOS,,,,,,,,,,
18,NAYARIT,,,,,,,,,,
19,NUEVO LEON   ,,,,,,,,1138,19073,
20,OAXACA,220.1,27279,171,909,2246,,,,,
21,PUEBLA,,,,,,,,,,
22,QUERETARO,,,,,,,,,,
23,QUINTANA ROO,,,,,,,,,,
24,SAN LUIS POTOSI,89.4,10697,2705,177,3068,,,,,97746
25,SINALOA,131.7,5826,81,802,1925,,,,,
26,SONORA,3119.7,51375,52394,,,,,,,
27,TABASCO,,,,,,,,13915,,
28,TAMAULIPAS,,,,,,,,1519,,
29,TLAXCALA,,,,,,,,,,
30,VERACRUZ,,,,,,,,1019,,
31,YUCATÁN       ,,,,,,,,,,
32,ZACATECAS,1134.8,169183,5164,11641,28163,,,,,
99,OTRAS,90.4,11351,0,1429,2069,,9451,,359,24
