Mineral,Estado,Localidad,Indicador
Oro,Total_nacional,Total_nacional,1367
Oro,Baja_California,Total,1368
Oro,Baja_California,Mexicali,1369
Oro,Chihuahua,Total,1370
Oro,Chihuahua,Hidalgo_del_Parral,1371
Oro,Chihuahua,San_Francisco_del_Oro,1372
Oro,Chihuahua,Santa_Barbara,1373
Oro,Chihuahua,Saucillo,1374
Oro,Chihuahua,Urique,1375
Oro,Chihuahua,Otros_municipios,1376
Oro,Durango,Total,1377
Oro,Durango,Guanacevi,1378
Oro,Durango,Otaez,1379
Oro,Durango,Panuco_de_Coronado,1380
Oro,Durango,San_Dimas,1381
Oro,Durango,Santiago_Papasquiaro,1382
Oro,Durango,Tamazula,1383
Oro,Durango,Otros_municipios,1384
Oro,Guanajuato,Total,1385
Oro,Guanajuato,Guanajuato,1386
Oro,Guerrero,Total,1387
Oro,Guerrero,Taxco_de_Alarcon,1388
Oro,Guerrero,Otros_municipios,1389
Oro,Hidalgo,Total,1390
Oro,Hidalgo,Pachuca_de_Soto,1391
Oro,Hidalgo,Otros_municipios,1392
Oro,Mexico,Total,1393
Oro,Nayarit,Total,1394
Oro,Oaxaca,Total,1395
Oro,Oaxaca,Ixtlan_de_Juarez,1396
Oro,Oaxaca,Otros_municipios,1397
Oro,Queretaro,Total,1398
Oro,Queretaro,Colon,1399
Oro,Queretaro,Otros_municipios,1400
Oro,San_Luis_Potosi,Total,1401
Oro,San_Luis_Potosi,Villa_de_la_Paz,1402
Oro,San_Luis_Potosi,Otros_municipios,1403
Oro,Sinaloa,Total,1404
Oro,Sinaloa,San_Ignacio,1405
Oro,Sinaloa,Otros_municipios,1406
Oro,Sonora,Total,1407
Oro,Sonora,Cananea,1408
Oro,Sonora,La_Colorada,1409
Oro,Sonora,Cucurpe,1410
Oro,Sonora,Nacozari_de_Garcia,1411
Oro,Sonora,General_Plutarco_Elias_Calles,1412
Oro,Sonora,Otros_municipios,1413
Oro,Zacatecas,Total,1414
Oro,Zacatecas,Fresnillo,1415
Oro,Zacatecas,Zacatecas,1416
Oro,Zacatecas,Otros_municipios,1417
Oro,Otras_entidades_federativas,Otras_entidades_federativas,1417
Plata,Total_nacional,Total,1418
Plata,Baja_California,Total,1419
Plata,Baja_California,Mexicali,1420
Plata,Coahuila,Coahuila_de_Zaragoza,1421
Plata,Chihuahua,Total,1422
Plata,Chihuahua,Aquiles_Serdan,1423
