cve_ent,entidad,codigo_act,nombre_act,Volumen
1,AGUASCALIENTES,212221,Minería de oro,
2,BAJA CALIFORNIA,212221,Minería de oro,51.6
3,BAJA CALIFORNIA SUR,212221,Minería de oro,
4,CAMPECHE,212221,Minería de oro,
5,COAHUILA DE ZARAGOZA,212221,Minería de oro,
6,COLIMA,212221,Minería de oro,
7,CHIAPAS,212221,Minería de oro,
8,CHIHUAHUA,212221,Minería de oro,1712.7
9,CIUDAD DE MÉXICO,212221,Minería de oro,
10,DURANGO,212221,Minería de oro,1243.8
11,GUANAJUATO,212221,Minería de oro,94.9
12,GUERRERO,212221,Minería de oro,1997.5
13,HIDALGO,212221,Minería de oro,
14,JALISCO,212221,Minería de oro,
15,MÉXICO                      ,212221,Minería de oro,105.9
16,MICHOACÁN DE OCAMPO       ,212221,Minería de oro,
17,MORELOS,212221,Minería de oro,
18,NAYARIT,212221,Minería de oro,
19,NUEVO LEÓN   ,212221,Minería de oro,
20,OAXACA,212221,Minería de oro,220.1
21,PUEBLA,212221,Minería de oro,
22,QUERÉTARO                               ,212221,Minería de oro,
23,QUINTANA ROO,212221,Minería de oro,
24,SAN LUIS POTOSÍ        ,212221,Minería de oro,89.4
25,SINALOA,212221,Minería de oro,131.7
26,SONORA,212221,Minería de oro,3119.7
27,TABASCO,212221,Minería de oro,
28,TAMAULIPAS,212221,Minería de oro,
29,TLAXCALA,212221,Minería de oro,
30,VERACRUZ DE IGNACIO DE LA LLAVE,212221,Minería de oro,
31,YUCATÁN       ,212221,Minería de oro,
32,ZACATECAS,212221,Minería de oro,1134.8
99,OTRAS,212221,Minería de oro,90.4
